geoid_x,name,total_population,under_18_population,age_65_plus_population,asian_alone_population,black_alone_population,hispanic_or_latino_population,white_alone_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,tract,block_group,pct_under_18,pct_65_plus,pct_hispanic,pct_asian,tract_geoid,geoid_y,food_biz_count,food_biz_per_1k,access_score,access_class,tract_lat,tract_lon
060855009013,Block Group 3; Census Tract 5009.01; Santa Clara County; California,1452,214,0,629,383,171,210,51563,0,0,,,500901,3,14.7,0.0,11.8,43.3,06085500901,06085500901,104,24.2,9,highly_underserved,37.3351801,-121.8840965
060855009021,Block Group 1; Census Tract 5009.02; Santa Clara County; California,1132,131,12,463,45,435,187,36402,0,0,,,500902,1,11.6,1.1,38.4,40.9,06085500902,06085500902,26,4.84,10,highly_underserved,37.333015,-121.8796398
060855009022,Block Group 2; Census Tract 5009.02; Santa Clara County; California,4245,182,12,1705,412,1078,1023,56146,0,0,,,500902,2,4.3,0.3,25.4,40.2,06085500902,06085500902,26,4.84,10,highly_underserved,37.333015,-121.8796398
060855010001,Block Group 1; Census Tract 5010; Santa Clara County; California,824,135,0,53,80,505,163,58627,0,0,,,501000,1,16.4,0.0,61.3,6.4,06085501000,06085501000,35,7.1,9,highly_underserved,37.3416421,-121.8880715
060855010002,Block Group 2; Census Tract 5010; Santa Clara County; California,985,100,109,241,0,558,148,81087,0,0,,,501000,2,10.2,11.1,56.6,24.5,06085501000,06085501000,35,7.1,9,highly_underserved,37.3416421,-121.8880715
060855010003,Block Group 3; Census Tract 5010; Santa Clara County; California,977,21,426,417,51,185,291,33410,0,0,,,501000,3,2.1,43.6,18.9,42.7,06085501000,06085501000,35,7.1,9,highly_underserved,37.3416421,-121.8880715
060855010004,Block Group 4; Census Tract 5010; Santa Clara County; California,1327,64,125,202,138,345,630,75417,0,0,,,501000,4,4.8,9.4,26.0,15.2,06085501000,06085501000,35,7.1,9,highly_underserved,37.3416421,-121.8880715
060855010005,Block Group 5; Census Tract 5010; Santa Clara County; California,815,332,54,12,0,502,286,92109,0,0,,,501000,5,40.7,6.6,61.6,1.5,06085501000,06085501000,35,7.1,9,highly_underserved,37.3416421,-121.8880715
060855011011,Block Group 1; Census Tract 5011.01; Santa Clara County; California,1631,117,261,316,71,629,419,80132,0,0,,,501101,1,7.2,16.0,38.6,19.4,06085501101,06085501101,29,7.38,9,highly_underserved,37.3480957,-121.8919669
060855011012,Block Group 2; Census Tract 5011.01; Santa Clara County; California,2298,192,370,681,143,814,460,106378,0,0,,,501101,2,8.4,16.1,35.4,29.6,06085501101,06085501101,29,7.38,9,highly_underserved,37.3480957,-121.8919669
060855011021,Block Group 1; Census Tract 5011.02; Santa Clara County; California,1797,447,122,182,39,1176,275,220777,0,0,,,501102,1,24.9,6.8,65.4,10.1,06085501102,06085501102,10,2.34,7,underserved,37.3540383,-121.8812234
060855011022,Block Group 2; Census Tract 5011.02; Santa Clara County; California,1416,378,101,320,0,885,211,117685,0,0,,,501102,2,26.7,7.1,62.5,22.6,06085501102,06085501102,10,2.34,7,underserved,37.3540383,-121.8812234
060855011023,Block Group 3; Census Tract 5011.02; Santa Clara County; California,1060,86,216,72,8,670,343,130234,0,0,,,501102,3,8.1,20.4,63.2,6.8,06085501102,06085501102,10,2.34,7,underserved,37.3540383,-121.8812234
060855012001,Block Group 1; Census Tract 5012; Santa Clara County; California,637,157,157,144,2,395,134,-666666666,0,0,,,501200,1,24.6,24.6,62.0,22.6,06085501200,06085501200,4,0.96,10,highly_underserved,37.3465601,-121.8787471
