geoid,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
60855033261,503326,1,2212,409,416,61,32,1508,523,167885,0,0,,
60855033262,503326,2,1914,402,194,107,10,1724,10,250001,0,0,,
60855033263,503326,3,2703,700,446,727,0,1752,180,196625,0,0,,
60855033271,503327,1,1530,408,235,89,4,971,454,234250,0,0,,
60855033272,503327,2,1695,352,284,123,0,1226,248,224398,0,0,,
60855033273,503327,3,1209,240,443,296,23,323,456,120714,0,0,,
60855033291,503329,1,1910,550,136,415,0,1411,112,241176,0,0,,
60855033292,503329,2,1384,167,437,142,35,1095,23,147064,0,0,,
60855033301,503330,1,2143,563,638,230,318,1321,285,250001,0,0,,
60855033302,503330,2,1492,347,159,0,0,1444,48,250001,0,0,,
60855033303,503330,3,1480,352,124,60,38,1267,71,250001,0,0,,
60855033304,503330,4,1435,280,214,185,0,1100,101,250001,0,0,,
60855033311,503331,1,2438,323,1229,825,16,1269,207,100691,0,0,,
60855033312,503331,2,1043,176,248,227,3,481,287,219000,0,0,,
60855033321,503332,1,1599,0,1330,890,0,464,277,91205,0,0,,
60855033322,503332,2,771,0,553,709,0,22,22,119077,0,0,,
60855033323,503332,3,1292,281,80,218,7,863,186,157004,0,0,,
60855033324,503332,4,2235,211,953,997,101,721,360,158209,0,0,,
60855033331,503333,1,1573,205,363,296,0,768,563,214750,0,0,,
60855033332,503333,2,3017,474,371,564,161,1599,394,199417,0,0,,
60855033361,503336,1,1031,164,205,83,0,713,216,173125,0,0,,
60855033362,503336,2,1830,265,297,60,72,1204,384,193775,0,0,,
60855033371,503337,1,2525,356,424,130,184,1834,276,141964,0,0,,
60855033372,503337,2,1884,328,225,166,0,1254,530,179091,0,0,,
60855033381,503338,1,2060,473,198,194,13,1737,38,250001,0,0,,
60855033382,503338,2,1912,424,450,471,0,1216,152,250001,0,0,,
60855033391,503339,1,1711,336,168,231,0,1292,46,250001,0,0,,
60855033392,503339,2,2116,590,363,547,22,1388,106,250001,0,0,,
60855034011,503401,1,870,138,94,33,0,179,683,105804,0,0,,
60855034012,503401,2,1472,349,205,129,13,496,854,158092,0,0,,
60855034013,503401,3,1731,280,332,93,22,261,1401,67188,0,0,,
60855034021,503402,1,2108,550,259,227,5,572,1340,121250,0,0,,
60855034022,503402,2,1157,248,183,65,0,301,777,40603,0,0,,
60855034023,503402,3,1014,174,206,15,0,385,621,175125,0,0,,
60855035041,503504,1,923,88,35,15,0,78,825,205322,0,0,,
60855035042,503504,2,1116,202,197,24,0,448,597,118717,0,0,,
60855035043,503504,3,1584,364,109,35,59,338,1177,94430,0,0,,
60855035044,503504,4,1903,396,240,42,0,575,1171,156492,0,0,,
60855035061,503506,1,2428,603,554,175,0,1281,1023,114583,0,0,,
60855035062,503506,2,1463,306,137,61,0,258,1019,121875,0,0,,
