business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0306041,KUSAN UYGHUR CUISINE,1516 N 4TH ST,San Jose,95112,37.365644,-121.90787,06085505100,115395,14.5,highly_underserved,9
PR0306047,BAYON TEMPLE,2425 S BASCOM AV STE A,Campbell,95008,37.278832,-121.932332,06085502701,133658,7.4,moderate,5
PR0306048,JANG MO ZIEP,3148 EL CAMINO REAL # 100,Santa Clara,95051,37.3518221,-121.9829231,06085505401,162000,14.4,underserved,6
PR0306049,PROVINCE SJ LLC,1788 N 1ST ST # 10,San Jose,95112,37.3696404,-121.9133539,06085505100,115395,14.5,highly_underserved,9
PR0306051,PROVINCE - DELI BAR,1788 N 1ST ST # 10,San Jose,95112,37.3696404,-121.9133539,06085505100,115395,14.5,highly_underserved,9
PR0306052,PROVINCE - SPORTS BAR,1788 N 1ST ST # 10,San Jose,95112,37.3696404,-121.9133539,06085505100,115395,14.5,highly_underserved,9
PR0306056,TOUS LES JOURS WESTGATE WEST,5263 PROSPECT RD,San Jose,95129,37.2921179999,-121.9943787999,06085506202,189032,3.8,moderate,5
PR0306058,NVIDIA CORPORATION - BUILDING R CAFE,2880 SCOTT BL,Santa Clara,95050,37.372632,-121.9620042,06085505202,164928,19.1,underserved,8
PR0306061,BASKIN ROBBINS,6467 ALMADEN EX # 70,San Jose,95120,37.2206613,-121.8619983,06085511905,250001,0.7,well_served,1
PR0306063,SANTA CRUZ BAKERY,340 E 10TH ST # E,Gilroy,95020,37.001362,-121.56161,06085512603,90139,14.8,underserved,8
PR0306068,ITALIAN BROTHERS RESTAURANTS,330 N SANTA CRUZ AV,Los Gatos,95030,37.2281621,-121.9811058,06085507004,175347,8.3,moderate,5
PR0306072,OAKMONT SANDWICHES,19998 HOMESTEAD RD # C,Cupertino,95014,37.3372376,-122.0228768,06085508101,250001,0.8,well_served,0
PR0306075,CARNITAS EL RINCON,3141 ALUM ROCK AV,San Jose,95127,37.3667019,-121.827307,06085503902,121083,9.5,underserved,7
PR0306076,MR. MOJITO BAR & GRILL INC,5925 ALMADEN EX,San Jose,95120,37.235821,-121.8734844,06085511914,250001,1.9,moderate,3
PR0306080,LEYOU ETHIOPIAN RESTAURANT,1100 N 1ST ST,San Jose,95112,37.3566954,-121.9057648,06085500200,115541,15.4,highly_underserved,10
PR0306084,TRINE'S CAFE #6,5304 MONTEREY RD B,San Jose,95111,37.259194,-121.8080587,06085512043,81984,7.1,highly_underserved,10
