geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085503510,Census Tract 5035.10; Santa Clara County; California,06,085,503510,4270,941,444,603,0,536,3,135926,1102,33,2.99,4.9
06085503511,Census Tract 5035.11; Santa Clara County; California,06,085,503511,3560,727,624,261,0,188,14,125972,787,47,5.97,9.5
06085503601,Census Tract 5036.01; Santa Clara County; California,06,085,503601,3524,843,403,878,0,780,63,98021,925,68,7.35,13.9
06085503602,Census Tract 5036.02; Santa Clara County; California,06,085,503602,4876,1269,862,285,0,263,5,98611,1270,173,13.62,7.9
06085503703,Census Tract 5037.03; Santa Clara County; California,06,085,503703,3858,849,447,165,0,155,5,105455,862,20,2.32,6.7
06085503707,Census Tract 5037.07; Santa Clara County; California,06,085,503707,4665,751,632,396,0,151,66,109000,1344,92,6.85,6.4
06085503708,Census Tract 5037.08; Santa Clara County; California,06,085,503708,2530,445,434,212,0,188,0,103446,686,66,9.62,11.9
06085503709,Census Tract 5037.09; Santa Clara County; California,06,085,503709,5862,1175,1295,342,0,314,234,78089,2163,305,14.1,18.4
06085503710,Census Tract 5037.10; Santa Clara County; California,06,085,503710,3046,662,633,257,0,244,0,43125,1062,238,22.41,19.5
06085503711,Census Tract 5037.11; Santa Clara County; California,06,085,503711,4023,1052,453,273,0,273,0,109167,990,17,1.72,16.5
06085503712,Census Tract 5037.12; Santa Clara County; California,06,085,503712,3770,691,1030,213,0,195,8,50612,1288,194,15.06,27.0
06085503713,Census Tract 5037.13; Santa Clara County; California,06,085,503713,3082,854,389,139,0,118,0,68636,1074,144,13.41,15.4
06085503802,Census Tract 5038.02; Santa Clara County; California,06,085,503802,7647,1884,1278,766,0,653,57,114023,2053,117,5.7,8.9
06085503803,Census Tract 5038.03; Santa Clara County; California,06,085,503803,5388,1140,809,526,0,286,43,190855,1241,53,4.27,3.3
06085503804,Census Tract 5038.04; Santa Clara County; California,06,085,503804,6231,926,1071,698,110,466,131,141289,1871,153,8.18,6.3
06085503902,Census Tract 5039.02; Santa Clara County; California,06,085,503902,6187,1348,788,1140,0,914,0,121083,1479,0,0.0,9.5
06085503903,Census Tract 5039.03; Santa Clara County; California,06,085,503903,2911,453,490,399,0,302,97,131806,817,53,6.49,9.0
06085504001,Census Tract 5040.01; Santa Clara County; California,06,085,504001,4873,852,782,530,0,222,37,87364,1494,92,6.16,11.2
06085504002,Census Tract 5040.02; Santa Clara County; California,06,085,504002,6376,1454,666,749,0,604,17,92091,1391,56,4.03,11.3
06085504101,Census Tract 5041.01; Santa Clara County; California,06,085,504101,3628,670,768,608,0,405,29,144167,1006,14,1.39,8.2
06085504102,Census Tract 5041.02; Santa Clara County; California,06,085,504102,5273,1011,929,459,0,324,0,156450,1279,47,3.67,8.8
06085504201,Census Tract 5042.01; Santa Clara County; California,06,085,504201,6020,1247,999,1980,0,1363,67,197750,1748,14,0.8,6.7
06085504202,Census Tract 5042.02; Santa Clara County; California,06,085,504202,4151,623,917,1268,0,1000,85,229028,1275,20,1.57,4.2
06085504307,Census Tract 5043.07; Santa Clara County; California,06,085,504307,5716,1169,982,745,0,551,13,154801,1873,115,6.14,4.3
06085504308,Census Tract 5043.08; Santa Clara County; California,06,085,504308,4898,889,920,1108,0,537,0,212941,1480,74,5.0,8.0
06085504311,Census Tract 5043.11; Santa Clara County; California,06,085,504311,8850,1184,1224,891,0,706,156,173106,3282,130,3.96,4.1
06085504314,Census Tract 5043.14; Santa Clara County; California,06,085,504314,4425,849,930,290,0,220,172,210357,1334,26,1.95,2.4
06085504315,Census Tract 5043.15; Santa Clara County; California,06,085,504315,6475,1075,891,1031,0,867,71,182784,1823,19,1.04,7.9
06085504316,Census Tract 5043.16; Santa Clara County; California,06,085,504316,5403,886,816,498,0,473,9,192188,1467,50,3.41,3.5
06085504317,Census Tract 5043.17; Santa Clara County; California,06,085,504317,3639,449,934,326,0,211,0,180859,1057,41,3.88,2.7
06085504318,Census Tract 5043.18; Santa Clara County; California,06,085,504318,7989,1659,948,832,0,438,121,106535,2130,45,2.11,14.6
06085504319,Census Tract 5043.19; Santa Clara County; California,06,085,504319,5980,914,1175,703,0,572,15,227279,1979,132,6.67,10.3
06085504320,Census Tract 5043.20; Santa Clara County; California,06,085,504320,2990,526,781,282,0,165,22,183571,888,51,5.74,13.8
06085504321,Census Tract 5043.21; Santa Clara County; California,06,085,504321,5556,936,936,651,0,544,2,189867,1691,72,4.26,4.2
06085504322,Census Tract 5043.22; Santa Clara County; California,06,085,504322,5285,1118,558,452,0,412,17,167583,2121,47,2.22,14.2
06085504323,Census Tract 5043.23; Santa Clara County; California,06,085,504323,5814,1273,945,1084,47,908,64,161552,1852,129,6.97,6.8
06085504410,Census Tract 5044.10; Santa Clara County; California,06,085,504410,3960,811,599,589,0,518,0,153523,1217,140,11.5,10.9
06085504411,Census Tract 5044.11; Santa Clara County; California,06,085,504411,5553,888,828,973,0,647,62,166354,1594,32,2.01,11.9
06085504412,Census Tract 5044.12; Santa Clara County; California,06,085,504412,4928,1166,526,278,0,235,22,149659,1395,99,7.1,7.7
06085504413,Census Tract 5044.13; Santa Clara County; California,06,085,504413,1963,385,551,178,0,155,0,155982,741,118,15.92,7.2
06085504414,Census Tract 5044.14; Santa Clara County; California,06,085,504414,5141,1116,1271,488,0,409,0,165761,1750,123,7.03,11.2
06085504415,Census Tract 5044.15; Santa Clara County; California,06,085,504415,4885,1014,951,678,0,461,16,213654,1486,36,2.42,4.7
06085504416,Census Tract 5044.16; Santa Clara County; California,06,085,504416,3791,1005,425,634,0,567,0,190981,1174,17,1.45,5.8
06085504418,Census Tract 5044.18; Santa Clara County; California,06,085,504418,3951,728,740,434,0,334,0,116310,1138,45,3.95,6.3
06085504421,Census Tract 5044.21; Santa Clara County; California,06,085,504421,5422,1216,1062,559,0,399,3,172500,1516,34,2.24,5.4
06085504422,Census Tract 5044.22; Santa Clara County; California,06,085,504422,3440,709,582,184,0,173,2,141111,916,54,5.9,9.7
06085504423,Census Tract 5044.23; Santa Clara County; California,06,085,504423,2101,443,355,387,0,279,23,181250,588,8,1.36,3.2
06085504424,Census Tract 5044.24; Santa Clara County; California,06,085,504424,4974,811,948,873,8,825,0,153333,1570,113,7.2,5.0
06085504505,Census Tract 5045.05; Santa Clara County; California,06,085,504505,11610,2121,951,1159,0,986,170,229572,4392,225,5.12,2.5
06085504506,Census Tract 5045.06; Santa Clara County; California,06,085,504506,7188,1598,866,918,36,517,0,164879,2301,213,9.26,6.3
06085504507,Census Tract 5045.07; Santa Clara County; California,06,085,504507,6052,1417,855,770,0,335,128,163724,1664,183,11.0,6.4
06085504508,Census Tract 5045.08; Santa Clara County; California,06,085,504508,3862,514,319,802,0,703,101,186083,604,0,0.0,5.6
