geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855009021,Block Group 1; Census Tract 5009.02; Santa Clara County; California,06,085,500902,1,1132,131,12,187,45,463,435,36402,0,0,,
060855009022,Block Group 2; Census Tract 5009.02; Santa Clara County; California,06,085,500902,2,4245,182,12,1023,412,1705,1078,56146,0,0,,
060855010001,Block Group 1; Census Tract 5010; Santa Clara County; California,06,085,501000,1,824,135,0,163,80,53,505,58627,0,0,,
060855010002,Block Group 2; Census Tract 5010; Santa Clara County; California,06,085,501000,2,985,100,109,148,0,241,558,81087,0,0,,
060855010003,Block Group 3; Census Tract 5010; Santa Clara County; California,06,085,501000,3,977,21,426,291,51,417,185,33410,0,0,,
060855010004,Block Group 4; Census Tract 5010; Santa Clara County; California,06,085,501000,4,1327,64,125,630,138,202,345,75417,0,0,,
060855010005,Block Group 5; Census Tract 5010; Santa Clara County; California,06,085,501000,5,815,332,54,286,0,12,502,92109,0,0,,
060855011011,Block Group 1; Census Tract 5011.01; Santa Clara County; California,06,085,501101,1,1631,117,261,419,71,316,629,80132,0,0,,
060855011012,Block Group 2; Census Tract 5011.01; Santa Clara County; California,06,085,501101,2,2298,192,370,460,143,681,814,106378,0,0,,
060855011021,Block Group 1; Census Tract 5011.02; Santa Clara County; California,06,085,501102,1,1797,447,122,275,39,182,1176,220777,0,0,,
060855011022,Block Group 2; Census Tract 5011.02; Santa Clara County; California,06,085,501102,2,1416,378,101,211,0,320,885,117685,0,0,,
060855011023,Block Group 3; Census Tract 5011.02; Santa Clara County; California,06,085,501102,3,1060,86,216,343,8,72,670,130234,0,0,,
060855012001,Block Group 1; Census Tract 5012; Santa Clara County; California,06,085,501200,1,637,157,157,134,2,144,395,-666666666,0,0,,
060855012002,Block Group 2; Census Tract 5012; Santa Clara County; California,06,085,501200,2,1152,178,63,293,38,198,624,137031,0,0,,
060855012003,Block Group 3; Census Tract 5012; Santa Clara County; California,06,085,501200,3,1097,124,114,211,98,111,628,109457,0,0,,
060855012004,Block Group 4; Census Tract 5012; Santa Clara County; California,06,085,501200,4,1277,150,44,693,0,211,469,118333,0,0,,
060855013001,Block Group 1; Census Tract 5013; Santa Clara County; California,06,085,501300,1,1585,140,147,608,55,342,665,106689,0,0,,
060855013002,Block Group 2; Census Tract 5013; Santa Clara County; California,06,085,501300,2,1196,90,201,902,27,108,283,49318,0,0,,
060855013003,Block Group 3; Census Tract 5013; Santa Clara County; California,06,085,501300,3,1151,137,176,634,117,247,162,250001,0,0,,
060855014011,Block Group 1; Census Tract 5014.01; Santa Clara County; California,06,085,501401,1,1723,504,205,263,74,268,1122,62355,0,0,,
060855014012,Block Group 2; Census Tract 5014.01; Santa Clara County; California,06,085,501401,2,1179,283,289,279,10,109,774,104688,0,0,,
060855014021,Block Group 1; Census Tract 5014.02; Santa Clara County; California,06,085,501402,1,1564,268,376,579,18,237,717,91638,0,0,,
060855014022,Block Group 2; Census Tract 5014.02; Santa Clara County; California,06,085,501402,2,1139,146,142,299,11,98,737,101607,0,0,,
060855015011,Block Group 1; Census Tract 5015.01; Santa Clara County; California,06,085,501501,1,2882,706,465,177,0,1185,1403,81571,0,0,,
060855015012,Block Group 2; Census Tract 5015.01; Santa Clara County; California,06,085,501501,2,1521,355,124,215,88,278,963,82917,0,0,,
060855015021,Block Group 1; Census Tract 5015.02; Santa Clara County; California,06,085,501502,1,1899,391,316,620,0,24,1167,78750,0,0,,
060855015022,Block Group 2; Census Tract 5015.02; Santa Clara County; California,06,085,501502,2,711,155,143,0,7,127,472,52375,0,0,,
060855015023,Block Group 3; Census Tract 5015.02; Santa Clara County; California,06,085,501502,3,1740,290,53,348,0,615,826,225313,0,0,,
060855016011,Block Group 1; Census Tract 5016.01; Santa Clara County; California,06,085,501601,1,1946,121,130,673,10,376,830,120630,0,0,,
060855016012,Block Group 2; Census Tract 5016.01; Santa Clara County; California,06,085,501601,2,1612,244,188,564,17,193,833,125227,0,0,,
060855016021,Block Group 1; Census Tract 5016.02; Santa Clara County; California,06,085,501602,1,612,198,0,87,36,34,479,-666666666,0,0,,
060855016022,Block Group 2; Census Tract 5016.02; Santa Clara County; California,06,085,501602,2,705,55,77,210,33,66,367,82875,0,0,,
060855016023,Block Group 3; Census Tract 5016.02; Santa Clara County; California,06,085,501602,3,1594,102,204,517,51,246,670,70096,0,0,,
060855017001,Block Group 1; Census Tract 5017; Santa Clara County; California,06,085,501700,1,910,176,19,163,64,177,425,137560,0,0,,
060855017002,Block Group 2; Census Tract 5017; Santa Clara County; California,06,085,501700,2,644,131,110,42,0,26,541,94167,0,0,,
060855017003,Block Group 3; Census Tract 5017; Santa Clara County; California,06,085,501700,3,1603,560,34,187,21,69,1392,73125,0,0,,
060855017004,Block Group 4; Census Tract 5017; Santa Clara County; California,06,085,501700,4,1714,291,124,596,6,1,1454,101563,0,0,,
060855018001,Block Group 1; Census Tract 5018; Santa Clara County; California,06,085,501800,1,783,87,213,236,0,40,496,-666666666,0,0,,
060855018002,Block Group 2; Census Tract 5018; Santa Clara County; California,06,085,501800,2,1664,400,166,446,11,241,1093,106212,0,0,,
060855018003,Block Group 3; Census Tract 5018; Santa Clara County; California,06,085,501800,3,824,164,77,600,0,53,340,187019,0,0,,
060855018004,Block Group 4; Census Tract 5018; Santa Clara County; California,06,085,501800,4,1515,406,209,913,49,164,480,226083,0,0,,
