VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"SMART & FINAL #421"                                                                                                                                                                                      ,1700 HIGH ST                                                                                                   ,                                                            ,Delano                                                      ,93215,Kern                                                        ,35.77769               ,-119.2486
"SMART & FINAL #362"                                                                                                                                                                                      ,4980 STOCKDALE HWY                                                                                             ,                                                            ,Bakersfield                                                 ,93309,Kern                                                        ,35.35548               ,-119.0574
"SMART & FINAL #385"                                                                                                                                                                                      ,1425 MARTIN L. KING JR. WAY                                                                                    ,                                                            ,Merced                                                      ,95340,Merced                                                      ,37.29818               ,-120.4843
"SMART & FINAL #729"                                                                                                                                                                                      ,1159 ROSEVILLE SQUARE STE 150                                                                                  ,                                                            ,Roseville                                                   ,95678,Placer                                                      ,38.7471                ,-121.2739
"SMART & FINAL #711"                                                                                                                                                                                      ,2825 GRASS VALLEY HWY                                                                                          ,                                                            ,Auburn                                                      ,95603,Placer                                                      ,38.94004               ,-121.0977
"SMART & FINAL #591"                                                                                                                                                                                      ,1734 WATT AVE                                                                                                  ,                                                            ,Sacramento                                                  ,95825,Sacramento                                                  ,38.59706               ,-121.3814
"SMART & FINAL #404"                                                                                                                                                                                      ,4820 MADISON AVE                                                                                               ,                                                            ,Sacramento                                                  ,95841,Sacramento                                                  ,38.66046               ,-121.3516
"SMART & FINAL #806"                                                                                                                                                                                      ,5128 STOCKTON BLVD                                                                                             ,                                                            ,Sacramento                                                  ,95820,Sacramento                                                  ,38.52855               ,-121.4458
"SMART & FINAL #405"                                                                                                                                                                                      ,2431 28TH ST                                                                                                   ,                                                            ,Sacramento                                                  ,95818,Sacramento                                                  ,38.55779               ,-121.4754
"SMART & FINAL #701"                                                                                                                                                                                      ,2344 SUNRISE BLVD                                                                                              ,                                                            ,Rancho Cordova                                              ,95670,Sacramento                                                  ,38.61708               ,-121.2695
"SMART & FINAL #722"                                                                                                                                                                                      ,8787 ELK GROVE BLVD                                                                                            ,                                                            ,Elk Grove                                                   ,95624,Sacramento                                                  ,38.41014               ,-121.3771
"SMART & FINAL #479"                                                                                                                                                                                      ,7205 FREEPORT BLVD                                                                                             ,                                                            ,Sacramento                                                  ,95831,Sacramento                                                  ,38.49432               ,-121.5048
"SMART & FINAL #724"                                                                                                                                                                                      ,3315 NORTHGATE BLVD STE 4                                                                                      ,                                                            ,Sacramento                                                  ,95834,Sacramento                                                  ,38.62899               ,-121.4768
"SMART & FINAL #582"                                                                                                                                                                                      ,7223 FAIR OAKS AVE                                                                                             ,                                                            ,Carmichael                                                  ,95608,Sacramento                                                  ,38.63321               ,-121.3296
"SMART & FINAL #703"                                                                                                                                                                                      ,7945 MADISON AVE                                                                                               ,                                                            ,Citrus Heights                                              ,95610,Sacramento                                                  ,38.66532               ,-121.2708
"SMART & FINAL #403"                                                                                                                                                                                      ,147 N WILSON WAY                                                                                               ,                                                            ,Stockton                                                    ,95205,San Joaquin                                                 ,37.95724               ,-121.2729
"SMART & FINAL #593"                                                                                                                                                                                      ,215 E LODI AVE                                                                                                 ,                                                            ,Lodi                                                        ,95240,San Joaquin                                                 ,38.13104               ,-121.269
"SMART & FINAL #393"                                                                                                                                                                                      ,744 W HAMMER LN                                                                                                ,                                                            ,Stockton                                                    ,95210,San Joaquin                                                 ,38.01983               ,-121.3226
"SMART & FINAL #811"                                                                                                                                                                                      ,1801 H ST STE C02                                                                                              ,                                                            ,Modesto                                                     ,95354,Stanislaus                                                  ,37.64447               ,-120.9911
"SMART & FINAL #588"                                                                                                                                                                                      ,2900 STANDIFORD AVE STE 15                                                                                     ,                                                            ,Modesto                                                     ,95350,Stanislaus                                                  ,37.68345               ,-121.049
"SMART & FINAL #384"                                                                                                                                                                                      ,600 W CENTER ST                                                                                                ,                                                            ,Visalia                                                     ,93291,Tulare                                                      ,36.33161               ,-119.2983
"SMART & FINAL #430"                                                                                                                                                                                      ,1019 E PROSPERITY AVE                                                                                          ,                                                            ,Tulare                                                      ,93274,Tulare                                                      ,36.22392               ,-119.3322
"SMART & FINAL #791"                                                                                                                                                                                      ,3424 S MOONEY BLVD                                                                                             ,                                                            ,Visalia                                                     ,93277,Tulare                                                      ,36.29975               ,-119.3113
"SMART & FINAL #798"                                                                                                                                                                                      ,650 N IMPERIAL AVE                                                                                             ,                                                            ,El Centro                                                   ,92243,Imperial                                                    ,32.79786               ,-115.5717
"SMART & FINAL #380"                                                                                                                                                                                      ,1180 N MAIN ST                                                                                                 ,                                                            ,Bishop                                                      ,93514,Inyo                                                        ,37.37346               ,-118.3947
"SMART & FINAL #308"                                                                                                                                                                                      ,160 W WILLOW ST                                                                                                ,                                                            ,Pomona                                                      ,91768,Los Angeles                                                 ,34.07846               ,-117.7537
"SMART & FINAL #310"                                                                                                                                                                                      ,1216 COMPTON AVE                                                                                               ,                                                            ,Los Angeles                                                 ,90021,Los Angeles                                                 ,34.02736               ,-118.2418
"SMART & FINAL #311"                                                                                                                                                                                      ,15930 BELLFLOWER BLVD                                                                                          ,                                                            ,Bellflower                                                  ,90706,Los Angeles                                                 ,33.88844               ,-118.1239
"SMART & FINAL #319"                                                                                                                                                                                      ,5029 E FLORENCE AVE                                                                                            ,                                                            ,Bell                                                        ,90201,Los Angeles                                                 ,33.97016               ,-118.177
"SMART & FINAL #325"                                                                                                                                                                                      ,10935 FIRESTONE BLVD                                                                                           ,                                                            ,Norwalk                                                     ,90650,Los Angeles                                                 ,33.92381               ,-118.1004
"SMART & FINAL #333"                                                                                                                                                                                      ,10833 LONG BEACH BLVD                                                                                          ,                                                            ,Lynwood                                                     ,90262,Los Angeles                                                 ,33.93431               ,-118.2138
"SMART & FINAL #337"                                                                                                                                                                                      ,8137 S VERMONT AVENUE                                                                                          ,                                                            ,Los Angeles                                                 ,90044,Los Angeles                                                 ,33.96474               ,-118.2922
"SMART & FINAL #341"                                                                                                                                                                                      ,1125 E EL SEGUNDO BLVD                                                                                         ,                                                            ,Los Angeles                                                 ,90059,Los Angeles                                                 ,33.91701               ,-118.2549
"SMART & FINAL #345"                                                                                                                                                                                      ,2308 E 4TH ST                                                                                                  ,                                                            ,Los Angeles                                                 ,90033,Los Angeles                                                 ,34.04063               ,-118.2131
"SMART & FINAL #363"                                                                                                                                                                                      ,939 N WESTERN AVE                                                                                              ,                                                            ,Los Angeles                                                 ,90029,Los Angeles                                                 ,34.08794               ,-118.3096
"SMART & FINAL #364"                                                                                                                                                                                      ,2949 WEST PICO BLVD                                                                                            ,                                                            ,Los Angeles                                                 ,90006,Los Angeles                                                 ,34.04755               ,-118.3048
"SMART & FINAL #366"                                                                                                                                                                                      ,10100 S CRENSHAW BLVD                                                                                          ,                                                            ,Inglewood                                                   ,90303,Los Angeles                                                 ,33.94472               ,-118.3258
"SMART & FINAL #369"                                                                                                                                                                                      ,20410 S SUSANA RD                                                                                              ,                                                            ,Carson                                                      ,90810,Los Angeles                                                 ,33.84609               ,-118.2062
"SMART & FINAL #372"                                                                                                                                                                                      ,10893 SAN FERNANDO RD                                                                                          ,                                                            ,Pacoima                                                     ,91331,Los Angeles                                                 ,34.26787               ,-118.4248
"SMART & FINAL #373"                                                                                                                                                                                      ,11110 RAMONA BLVD                                                                                              ,                                                            ,El Monte                                                    ,91731,Los Angeles                                                 ,34.07235               ,-118.0312
"SMART & FINAL #413"                                                                                                                                                                                      ,6060 FIGUEROA ST                                                                                               ,                                                            ,Highland Park                                               ,90042,Los Angeles                                                 ,34.11115               ,-118.1875
"SMART & FINAL #440"                                                                                                                                                                                      ,1320 ATLANTIC AVE                                                                                              ,                                                            ,Long Beach                                                  ,90813,Los Angeles                                                 ,33.78312               ,-118.1842
"SMART & FINAL #456"                                                                                                                                                                                      ,3607 S VERMONT AVE                                                                                             ,                                                            ,Los Angeles                                                 ,90007,Los Angeles                                                 ,34.02278               ,-118.2922
"SMART & FINAL #457"                                                                                                                                                                                      ,1575 CENTINELA AVE                                                                                             ,                                                            ,Inglewood                                                   ,90302,Los Angeles                                                 ,33.97668               ,-118.3663
"SMART & FINAL #459"                                                                                                                                                                                      ,2720 BEVERLY BLVD                                                                                              ,                                                            ,Los Angeles                                                 ,90057,Los Angeles                                                 ,34.06984               ,-118.2783
"SMART & FINAL #470"                                                                                                                                                                                      ,2929 CRENSHAW BLVD                                                                                             ,                                                            ,Los Angeles                                                 ,90016,Los Angeles                                                 ,34.02814               ,-118.3355
"SMART & FINAL #481"                                                                                                                                                                                      ,3123 BALDWIN PARK BLVD                                                                                         ,                                                            ,Baldwin Park                                                ,91706,Los Angeles                                                 ,34.07066               ,-117.9797
"SMART & FINAL #522"                                                                                                                                                                                      ,855 N WILCOX AVE                                                                                               ,                                                            ,Montebello                                                  ,90640,Los Angeles                                                 ,34.0314                ,-118.1262
"SMART & FINAL #332"                                                                                                                                                                                      ,604 LINCOLN BLVD                                                                                               ,                                                            ,Venice                                                      ,90291,Los Angeles                                                 ,34.00051               ,-118.4642
"SMART & FINAL #477"                                                                                                                                                                                      ,16847 VENTURA BLVD                                                                                             ,                                                            ,Encino                                                      ,91316,Los Angeles                                                 ,34.15995               ,-118.5
"SMART & FINAL #324"                                                                                                                                                                                      ,22631 VENTURA BLVD                                                                                             ,                                                            ,Woodland Hills                                              ,91364,Los Angeles                                                 ,34.16786               ,-118.6202
"SMART & FINAL #528"                                                                                                                                                                                      ,10340 MASON AVE                                                                                                ,                                                            ,Chatsworth                                                  ,91311,Los Angeles                                                 ,34.25849               ,-118.5787
"SMART & FINAL #414"                                                                                                                                                                                      ,6555 FOOTHILL BLVD                                                                                             ,                                                            ,Tujunga                                                     ,91042,Los Angeles                                                 ,34.24627               ,-118.2747
"SMART & FINAL #460"                                                                                                                                                                                      ,16210 DEVONSHIRE ST                                                                                            ,                                                            ,Granada Hills                                               ,91344,Los Angeles                                                 ,34.25676               ,-118.4857
"SMART & FINAL #483"                                                                                                                                                                                      ,28207 NEWHALL RANCH RD                                                                                         ,                                                            ,Valencia                                                    ,91354,Los Angeles                                                 ,34.44225               ,-118.5768
"SMART & FINAL #468"                                                                                                                                                                                      ,23640 LYONS AVE                                                                                                ,                                                            ,Santa Clarita                                               ,91321,Los Angeles                                                 ,34.37828               ,-118.548
"SMART & FINAL #304"                                                                                                                                                                                      ,210 NORTH VERDUGO ROAD                                                                                         ,                                                            ,Glendale                                                    ,91206,Los Angeles                                                 ,34.14864               ,-118.2347
"SMART & FINAL #485"                                                                                                                                                                                      ,3299 E COLORADO BLVD                                                                                           ,                                                            ,Pasadena                                                    ,91107,Los Angeles                                                 ,34.14669               ,-118.0831
"SMART & FINAL #370"                                                                                                                                                                                      ,401 N FAIR OAKS AVE                                                                                            ,                                                            ,Pasadena                                                    ,91103,Los Angeles                                                 ,34.15271               ,-118.1508
"SMART & FINAL #321"                                                                                                                                                                                      ,725 E MAIN ST                                                                                                  ,                                                            ,Alhambra                                                    ,91801,Los Angeles                                                 ,34.09951               ,-118.1197
"SMART & FINAL #367"                                                                                                                                                                                      ,114 N AZUSA AVE                                                                                                ,                                                            ,Covina                                                      ,91722,Los Angeles                                                 ,34.08685               ,-117.9061
"SMART & FINAL #395"                                                                                                                                                                                      ,11221 W PICO BLVD                                                                                              ,                                                            ,Los Angeles                                                 ,90064,Los Angeles                                                 ,34.03664               ,-118.4376
"SMART & FINAL #374"                                                                                                                                                                                      ,6601 N LAUREL CANYON BLVD                                                                                      ,                                                            ,North Hollywood                                             ,91606,Los Angeles                                                 ,34.19079               ,-118.3975
"SMART & FINAL #474"                                                                                                                                                                                      ,1041 FULLER AVE                                                                                                ,                                                            ,West Hollywood                                              ,90046,Los Angeles                                                 ,34.09051               ,-118.3502
"SMART & FINAL #306"                                                                                                                                                                                      ,28500 S WESTERN AVE                                                                                            ,                                                            ,Rancho Palos Verdes                                         ,90275,Los Angeles                                                 ,33.76115               ,-118.3118
"SMART & FINAL #348"                                                                                                                                                                                      ,21600 S VERMONT AVE                                                                                            ,                                                            ,Torrance                                                    ,90502,Los Angeles                                                 ,33.83323               ,-118.29
"SMART & FINAL #458"                                                                                                                                                                                      ,2775 PACIFIC COAST HWY                                                                                         ,                                                            ,Torrance                                                    ,90505,Los Angeles                                                 ,33.79414               ,-118.3345
"SMART & FINAL #529"                                                                                                                                                                                      ,15205 HAWTHORNE BLVD                                                                                           ,                                                            ,Lawndale                                                    ,90260,Los Angeles                                                 ,33.89361               ,-118.3535
"SMART & FINAL #371"                                                                                                                                                                                      ,5555 WILSHIRE BLVD                                                                                             ,                                                            ,Los Angeles                                                 ,90036,Los Angeles                                                 ,34.0627                ,-118.3496
"SMART & FINAL #315"                                                                                                                                                                                      ,12210 SANTA MONICA BLVD                                                                                        ,                                                            ,West Los Angeles                                            ,90025,Los Angeles                                                 ,34.0398                ,-118.4644
"SMART & FINAL #330"                                                                                                                                                                                      ,10113 VENICE BLVD                                                                                              ,                                                            ,Los Angeles                                                 ,90034,Los Angeles                                                 ,34.0221                ,-118.4018
"SMART & FINAL #428"                                                                                                                                                                                      ,1855 W GLENOAKS BLVD                                                                                           ,                                                            ,Glendale                                                    ,91201,Los Angeles                                                 ,34.17466               ,-118.2923
"SMART & FINAL #511"                                                                                                                                                                                      ,2511 DALY ST                                                                                                   ,                                                            ,Lincoln Heights                                             ,90031,Los Angeles                                                 ,34.07542               ,-118.2166
"SMART & FINAL #471"                                                                                                                                                                                      ,3708 W. BURBANK BLVD                                                                                           ,                                                            ,Burbank                                                     ,91505,Los Angeles                                                 ,34.17414               ,-118.3509
"SMART & FINAL #512"                                                                                                                                                                                      ,7224 MASON AVE                                                                                                 ,                                                            ,Winnetka                                                    ,91306,Los Angeles                                                 ,34.20201               ,-118.5786
"SMART & FINAL #437"                                                                                                                                                                                      ,39212 10TH ST WEST                                                                                             ,                                                            ,Palmdale                                                    ,93551,Los Angeles                                                 ,34.59599               ,-118.1449
"SMART & FINAL #598"                                                                                                                                                                                      ,4237 WOODRUFF AVE                                                                                              ,                                                            ,Lakewood                                                    ,90713,Los Angeles                                                 ,33.8348                ,-118.1185
"SMART & FINAL #420"                                                                                                                                                                                      ,18555 DEVONSHIRE ST                                                                                            ,                                                            ,Northridge                                                  ,91324,Los Angeles                                                 ,34.25854               ,-118.5377
"SMART & FINAL #305"                                                                                                                                                                                      ,1005 W ARROW HWY                                                                                               ,                                                            ,San Dimas                                                   ,91773,Los Angeles                                                 ,34.10811               ,-117.8274
"SMART & FINAL #482"                                                                                                                                                                                      ,15055 MULBERRY AVE                                                                                             ,                                                            ,Whittier                                                    ,90604,Los Angeles                                                 ,33.93558               ,-118.01
"SMART & FINAL #444"                                                                                                                                                                                      ,4550 W PICO BLVD STE D303                                                                                      ,                                                            ,Los Angeles                                                 ,90019,Los Angeles                                                 ,34.0484                ,-118.335
"SMART & FINAL #323"                                                                                                                                                                                      ,2040 GLENOAKS BLVD                                                                                             ,                                                            ,San Fernando                                                ,91340,Los Angeles                                                 ,34.29857               ,-118.4387
"SMART & FINAL #317"                                                                                                                                                                                      ,15427 AMAR RD                                                                                                  ,                                                            ,La Puente                                                   ,91744,Los Angeles                                                 ,34.0377                ,-117.9489
"SMART & FINAL #716"                                                                                                                                                                                      ,13003 WHITTIER BLVD                                                                                            ,                                                            ,Whittier                                                    ,90602,Los Angeles                                                 ,33.96676               ,-118.0368
